event_id,timestamp,source,event_type,severity,user_id,device_id,src_ip,event_location,authentication_result,process_name,alert_status,analyst_decision,quality_flags,user_department,user_role,employment_status,privileged_account,user_location,asset_hostname,asset_type,asset_department,asset_owner,asset_criticality,operating_system
AUTH002028,2026-03-02 09:46:31,AUTHENTICATION,LOGOUT,LOW,U0135,D0191,10.5.137.39,Nantes,SUCCESS,,,,,Juridique,Assistant,ACTIVE,NO,Lyon,PHF-VM-0191,Laptop,Communication,Regions,LOW,macOS 14
AUTH000103,2026-03-02 09:52:50,AUTHENTICATION,LOGIN,LOW,U0170,D0129,10.31.252.66,Lille,SUCCESS,,,,,Finance,Analyst,ACTIVE,NO,Lyon,PHF-VM-0129,Server,Direction,IT,CRITICAL,Windows 10
AUTH000853,2026-03-02 09:56:17,AUTHENTICATION,VPN_CONNECT,LOW,U0093,D0193,10.6.135.238,Nantes,SUCCESS,,,,,Regions,Coordinator,ACTIVE,NO,Lille,PHF-SRV-0193,Server,Regions,RH,CRITICAL,Windows 11
AUTH003675,2026-03-02 09:59:00,AUTHENTICATION,VPN_CONNECT,LOW,U0290,D0181,10.10.80.76,Marseille,SUCCESS,,,,,Juridique,Engineer,ACTIVE,NO,Nantes,PHF-LT-0181,Desktop,Direction,IT,CRITICAL,Windows 10
AUTH001025,2026-03-02 10:00:25,AUTHENTICATION,LOGIN,MEDIUM,U0269,D0127,10.15.190.225,Lille,SUCCESS,,,,,IT,Analyst,ACTIVE,NO,Toulouse,PHF-LT-0127,Laptop,Regions,Regions,,Windows Server 2019
AUTH001288,2026-03-02 10:01:12,AUTHENTICATION,LOGOUT,LOW,U0114,D0145,10.17.2.203,Paris,SUCCESS,,,,,RH,Analyst,ACTIVE,NO,Lyon,PHF-WS-0145,Mobile,RH,Direction,LOW,macOS 14
EDR000494,2026-03-02 10:02:11,EDR,Suspicious Process,MEDIUM,U0318,D0079,,,,sccm_client.exe,Closed,FALSE_POSITIVE,,IT,Engineer,ACTIVE,NO,Paris,PHF-LT-0079,Mobile,Regions,RH,CRITICAL,Windows 10
AUTH002734,2026-03-02 10:17:00,AUTHENTICATION,LOGOUT,LOW,U0352,D0110,10.20.60.131,Lyon,SUCCESS,,,,,Direction,Director,ACTIVE,NO,Bordeaux,PHF-LT-0110,VM,IT,RH,LOW,Windows Server 2019
AUTH001920,2026-03-02 10:20:14,AUTHENTICATION,LOGOUT,MEDIUM,U0190,D0105,10.37.86.122,Nantes,SUCCESS,,,,,IT,Manager,ACTIVE,YES,Toulouse,PHF-LT-0105,VM,IT,Regions,HIGH,Windows 11
AUTH004356,2026-03-02 10:21:00,AUTHENTICATION,LOGOUT,MEDIUM,U0101,D0178,10.13.18.148,Bordeaux,SUCCESS,,,,,Regions,Coordinator,ACTIVE,NO,Paris,PHF-LT-0178,Server,RH,Juridique,MEDIUM,Windows Server 2022
AUTH000426,2026-03-02 10:27:17,AUTHENTICATION,MFA_CHALLENGE,MEDIUM,U0070,D0174,10.34.71.50,Lille,SUCCESS,,,,,Regions,Analyst,ACTIVE,NO,Marseille,PHF-VM-0174,VM,Regions,IT,,Windows Server 2022
EDR000886,2026-03-02 10:29:07,EDR,Unusual Network,LOW,U0124,D0200,,,,teams.exe,Closed,FALSE_POSITIVE,,RH,Engineer,ACTIVE,NO,Bordeaux,PHF-SRV-0200,Desktop,Finance,Communication,CRITICAL,Ubuntu 22.04
AUTH003317,2026-03-02 10:29:55,AUTHENTICATION,MFA_CHALLENGE,LOW,U0200,D0185,10.19.253.150,Lyon,SUCCESS,,,,,Direction,Assistant,ACTIVE,YES,Bordeaux,PHF-LT-0185,Desktop,Regions,Direction,CRITICAL,Windows 10
AUTH004217,2026-03-02 10:34:49,AUTHENTICATION,LOGOUT,MEDIUM,U0029,D0177,10.35.207.201,Nantes,SUCCESS,,,,,Juridique,Engineer,ACTIVE,NO,Toulouse,PHF-SRV-0177,Laptop,Direction,Finance,CRITICAL,Windows Server 2022
AUTH003403,2026-03-02 10:34:59,AUTHENTICATION,VPN_CONNECT,LOW,U0007,D0129,10.36.98.220,Toulouse,SUCCESS,,,,,IT,Director,ACTIVE,YES,Paris,PHF-VM-0129,Server,Direction,IT,CRITICAL,Windows 10
AUTH001265,2026-03-02 10:43:00,AUTHENTICATION,LOGIN,MEDIUM,U0280,D0193,10.27.156.254,Bordeaux,SUCCESS,,,,,Finance,Coordinator,ACTIVE,YES,Paris,PHF-SRV-0193,Server,Regions,RH,CRITICAL,Windows 11
AUTH003569,2026-03-02 10:44:00,AUTHENTICATION,LOGOUT,MEDIUM,U0165,D0193,10.9.220.202,Nantes,SUCCESS,,,,,IT,Coordinator,ACTIVE,NO,Nantes,PHF-SRV-0193,Server,Regions,RH,CRITICAL,Windows 11
EDR000658,2026-03-02 10:55:13,EDR,Suspicious Process,HIGH,U0354,D0044,,,,teams.exe,Closed,FALSE_POSITIVE,,Finance,Engineer,ACTIVE,NO,Lille,PHF-VM-0044,Mobile,Communication,IT,LOW,macOS 14
AUTH001421,2026-03-02 10:57:54,AUTHENTICATION,VPN_CONNECT,MEDIUM,U0117,D0114,10.24.17.96,Paris,SUCCESS,,,,,IT,Engineer,ACTIVE,NO,Paris,PHF-WS-0114,Desktop,Finance,RH,MEDIUM,Windows Server 2022
EDR000393,2026-03-02 10:59:48,EDR,PUP Detected,LOW,U0220,D0063,,,,antivirus_update.exe,Open,FALSE_POSITIVE,,Communication,Director,INACTIVE,NO,Lyon,PHF-WS-0063,Desktop,Regions,IT,CRITICAL,Windows 11
EDR000937,2026-03-02 11:02:39,EDR,Unusual Network,HIGH,U0058,D0188,,,,teams.exe,In Progress,FALSE_POSITIVE,,IT,Assistant,ACTIVE,NO,Toulouse,PHF-VM-0188,Desktop,Direction,,MEDIUM,Ubuntu 22.04
AUTH004361,2026-03-02 11:17:35,AUTHENTICATION,LOGOUT,MEDIUM,U0118,D0126,10.44.70.57,Lille,FAILURE,,,,,Finance,Analyst,ACTIVE,NO,Nantes,PHF-SRV-0126,Desktop,Juridique,RH,CRITICAL,macOS 14
AUTH004137,2026-03-02 11:18:00,AUTHENTICATION,VPN_CONNECT,MEDIUM,U0045,D0051,10.0.227.54,Nantes,SUCCESS,,,,,Juridique,Coordinator,ACTIVE,NO,Bordeaux,PHF-SRV-0051,VM,Regions,Regions,CRITICAL,macOS 14
AUTH002875,2026-03-02 11:24:00,AUTHENTICATION,VPN_CONNECT,MEDIUM,,D0002,10.20.68.31,Paris,SUCCESS,,,,MISSING_USER_ID,,,,,,PHF-WS-0002,VM,Juridique,IT,CRITICAL,Windows Server 2022
EDR001662,2026-03-02 11:26:11,EDR,PUP Detected,HIGH,U0380,D0005,,,,sccm_client.exe,Open,NEEDS_INVESTIGATION,,Communication,Coordinator,ACTIVE,NO,Marseille,PHF-WS-0005,Desktop,Communication,,CRITICAL,Windows Server 2022
EDR000681,2026-03-02 11:27:56,EDR,PUP Detected,LOW,U0103,D0062,,,,python.exe,Closed,FALSE_POSITIVE,,Finance,Technician,ACTIVE,NO,Lille,PHF-VM-0062,Laptop,Finance,RH,HIGH,Windows Server 2022
EDR000686,2026-03-02 11:29:44,EDR,Suspicious Process,LOW,U0120,D0044,,,,python.exe,Closed,FALSE_POSITIVE,,Communication,Engineer,INACTIVE,NO,Toulouse,PHF-VM-0044,Mobile,Communication,IT,LOW,macOS 14
AUTH002036,2026-03-02 11:31:00,AUTHENTICATION,RDP_SESSION,MEDIUM,U0192,D0078,10.16.250.3,Nantes,SUCCESS,,,,,Regions,Director,ACTIVE,NO,Lyon,PHF-LT-0078,Desktop,Communication,Communication,MEDIUM,Windows 10
AUTH002482,2026-03-02 11:32:43,AUTHENTICATION,RDP_SESSION,LOW,U0039,D0118,10.9.73.153,Nantes,SUCCESS,,,,,RH,Manager,ACTIVE,NO,Marseille,PHF-WS-0118,Laptop,IT,Juridique,MEDIUM,Windows 10
EDR001131,2026-03-02 11:43:13,EDR,PUP Detected,HIGH,U0189,D0121,,,,teams.exe,Open,FALSE_POSITIVE,,RH,Analyst,ACTIVE,NO,Lille,PHF-WS-0120,VM,IT,,MEDIUM,Windows 11
EDR000936,2026-03-02 11:44:18,EDR,Suspicious Process,MEDIUM,U0150,D0181,,,,outlook.exe,Closed,FALSE_POSITIVE,,Finance,Technician,ACTIVE,NO,Bordeaux,PHF-LT-0181,Desktop,Direction,IT,CRITICAL,Windows 10
AUTH004790,2026-03-02 11:46:25,AUTHENTICATION,LOGIN,LOW,U0036,D9005,10.1.91.8,Marseille,SUCCESS,,,,UNKNOWN_DEVICE_REF,RH,Analyst,ACTIVE,NO,Toulouse,,,,,,
AUTH000600,2026-03-02 11:49:00,AUTHENTICATION,MFA_CHALLENGE,MEDIUM,U0269,D0093,10.2.92.108,Bordeaux,SUCCESS,,,,,IT,Analyst,ACTIVE,NO,Toulouse,PHF-LT-0093,Server,Finance,Finance,LOW,Windows Server 2019
AUTH003776,2026-03-02 11:49:17,AUTHENTICATION,RDP_SESSION,LOW,U0275,D0067,10.15.200.250,Lyon,SUCCESS,,,,,Juridique,Engineer,ACTIVE,NO,Marseille,PHF-WS-0067,Mobile,RH,,LOW,Ubuntu 22.04
AUTH001111,2026-03-02 11:51:14,AUTHENTICATION,LOGOUT,MEDIUM,U0182,D0004,10.43.106.51,Lyon,SUCCESS,,,,,Direction,Engineer,ACTIVE,NO,Nantes,PHF-LT-0004,Mobile,Communication,RH,MEDIUM,Ubuntu 22.04
AUTH000213,2026-03-02 11:58:08,AUTHENTICATION,LOGOUT,LOW,U0245,D0115,10.4.151.201,Lille,SUCCESS,,,,,RH,Assistant,ACTIVE,NO,Lille,PHF-LT-0115,Mobile,Finance,Communication,,Windows 11
AUTH001686,2026-03-02 11:59:34,AUTHENTICATION,MFA_CHALLENGE,MEDIUM,U0198,D0061,10.31.70.206,Lyon,SUCCESS,,,,,Communication,Manager,ACTIVE,NO,Marseille,PHF-SRV-0061,VM,Regions,RH,CRITICAL,macOS 14
AUTH000468,2026-03-02 12:03:00,AUTHENTICATION,RDP_SESSION,MEDIUM,U0072,D0123,10.20.151.224,Marseille,SUCCESS,,,,,Direction,Engineer,ACTIVE,NO,Paris,PHF-SRV-0123,VM,Regions,Juridique,,Windows 10
AUTH004034,2026-03-02 12:04:00,AUTHENTICATION,RDP_SESSION,LOW,U0349,D0172,10.45.212.202,Marseille,SUCCESS,,,,,Regions,Analyst,ACTIVE,NO,Bordeaux,PHF-SRV-0172,Server,Finance,IT,HIGH,Windows Server 2019
AUTH004236,2026-03-02 12:04:33,AUTHENTICATION,RDP_SESSION,LOW,U0227,D0170,10.41.135.245,Nantes,SUCCESS,,,,,Finance,Engineer,ACTIVE,NO,Lyon,PHF-LT-0170,VM,RH,RH,LOW,Windows Server 2019
AUTH004289,2026-03-02 12:04:41,AUTHENTICATION,LOGIN,MEDIUM,U0264,D0045,10.38.229.251,Bordeaux,SUCCESS,,,,,Juridique,Director,ACTIVE,NO,Lille,PHF-LT-0045,Mobile,Juridique,Finance,,macOS 14
AUTH003160,2026-03-02 12:13:22,AUTHENTICATION,RDP_SESSION,LOW,U0264,D0093,10.16.115.118,Marseille,SUCCESS,,,,,Juridique,Director,ACTIVE,NO,Lille,PHF-LT-0093,Server,Finance,Finance,LOW,Windows Server 2019
AUTH001138,2026-03-02 12:14:01,AUTHENTICATION,RDP_SESSION,MEDIUM,U0246,D0185,10.4.198.195,Nantes,SUCCESS,,,,,Regions,Manager,ACTIVE,NO,Toulouse,PHF-LT-0185,Desktop,Regions,Direction,CRITICAL,Windows 10
AUTH002663,2026-03-02 12:17:41,AUTHENTICATION,LOGOUT,MEDIUM,U0245,D0062,10.48.48.140,Marseille,SUCCESS,,,,,RH,Assistant,ACTIVE,NO,Lille,PHF-VM-0062,Laptop,Finance,RH,HIGH,Windows Server 2022
AUTH002215,2026-03-02 12:18:00,AUTHENTICATION,MFA_CHALLENGE,MEDIUM,U0375,D0157,10.35.47.139,Bordeaux,SUCCESS,,,,,RH,Assistant,ACTIVE,NO,Toulouse,PHF-WS-0157,Mobile,Direction,Communication,HIGH,macOS 14
EDR000018,2026-03-02 12:19:03,EDR,Suspicious Process,MEDIUM,U0103,D0060,,,,chrome.exe,Closed,,NOT_REVIEWED,Finance,Technician,ACTIVE,NO,Lille,PHF-VM-0060,Server,Regions,Communication,,Windows 10
AUTH000181,2026-03-02 12:28:17,AUTHENTICATION,VPN_CONNECT,LOW,U0346,D0187,10.34.245.30,Toulouse,SUCCESS,,,,,RH,Analyst,ACTIVE,NO,Nantes,PHF-SRV-0187,Desktop,Finance,IT,HIGH,Windows Server 2019
AUTH001373,2026-03-02 12:33:05,AUTHENTICATION,LOGOUT,MEDIUM,U0013,D0002,10.38.231.122,Toulouse,SUCCESS,,,,,Finance,Technician,ACTIVE,NO,Toulouse,PHF-WS-0002,VM,Juridique,IT,CRITICAL,Windows Server 2022
AUTH000358,2026-03-02 12:35:00,AUTHENTICATION,VPN_CONNECT,MEDIUM,U0003,D0107,10.14.98.187,Paris,FAILURE,,,,,RH,Manager,ACTIVE,NO,Lille,PHF-SRV-0107,Mobile,Finance,Direction,,Windows Server 2022
AUTH001173,2026-03-02 12:42:00,AUTHENTICATION,LOGOUT,LOW,U0393,D0111,10.43.165.253,Lyon,SUCCESS,,,,,Communication,Coordinator,ACTIVE,NO,Lille,PHF-SRV-0111,Laptop,RH,Regions,HIGH,Windows Server 2019
AUTH002855,2026-03-02 12:43:00,AUTHENTICATION,LOGIN,LOW,U0279,D0194,10.46.68.35,Paris,SUCCESS,,,,,RH,Coordinator,ACTIVE,NO,Paris,PHF-SRV-0194,Server,Communication,Direction,CRITICAL,Windows 10
AUTH000028,2026-03-02 12:46:26,AUTHENTICATION,PASSWORD_CHANGE,LOW,U0268,D0109,10.4.111.163,Paris,SUCCESS,,,,,Juridique,Engineer,ACTIVE,NO,Paris,PHF-VM-0109,Desktop,IT,Juridique,MEDIUM,Windows Server 2019
AUTH002277,2026-03-02 12:49:54,AUTHENTICATION,VPN_CONNECT,MEDIUM,U0298,D0002,10.46.165.126,Lille,SUCCESS,,,,,Finance,Manager,ACTIVE,NO,Lille,PHF-WS-0002,VM,Juridique,IT,CRITICAL,Windows Server 2022
AUTH003363,2026-03-02 12:50:00,AUTHENTICATION,PASSWORD_CHANGE,MEDIUM,U0392,D0181,10.0.103.130,Paris,SUCCESS,,,,,Direction,Director,ACTIVE,NO,Lille,PHF-LT-0181,Desktop,Direction,IT,CRITICAL,Windows 10
EDR000426,2026-03-02 12:51:06,EDR,Suspicious Process,LOW,U0293,D0032,,,,outlook.exe,In Progress,FALSE_POSITIVE,,IT,Manager,ACTIVE,NO,Paris,PHF-VM-0032,Desktop,IT,RH,HIGH,Windows 10
AUTH001196,2026-03-02 12:51:25,AUTHENTICATION,PASSWORD_CHANGE,LOW,U0371,D0160,10.10.118.217,Lyon,SUCCESS,,,,,Direction,Assistant,ACTIVE,NO,Lyon,PHF-VM-0160,Server,Direction,Communication,CRITICAL,macOS 14
