alert_id,timestamp,device_id,user_id,alert_type,process_name,severity,status,analyst_decision,timestamp_raw,timestamp_format_raw,severity_raw,quality_flags
EDR001604,2026-03-12 13:21:05,D0143,U0390,Unusual Network,rundll32.exe,CRITICAL,In Progress,NEEDS_INVESTIGATION,2026-03-12 13:21:05,iso_space,Critical,
EDR001634,2026-03-14 14:36:01,D0004,U0392,PowerShell Abuse,mimikatz.exe,CRITICAL,Closed,FALSE_POSITIVE,2026-03-14 14:36:01,iso_space,CRITICAL,
EDR001206,2026-03-11 01:15:00,D0066,U0146,Suspicious Process,backup_agent.exe,HIGH,Closed,,2026-03-11 01:15:00,iso_space,High,MISSING_ANALYST_DECISION
EDR000428,2026-03-03 10:28:52,D0053,U0205,PUP Detected,teams.exe,MEDIUM,Closed,FALSE_POSITIVE,2026-03-03T10:28:52Z,iso_z,MEDIUM,
EDR001252,2026-03-11 03:33:00,D0165,U0392,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 03:33:00,iso_space,high,
EDR001600,2026-03-18 16:51:56,D0021,U0380,Suspicious Process,teams.exe,MEDIUM,In Progress,,2026-03-18T16:51:56Z,iso_z,Medium,MISSING_ANALYST_DECISION
EDR001410,2026-03-11 11:27:00,D0053,U0167,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11T11:27:00Z,iso_z,high,
EDR000802,2026-03-11 16:17:49,D0114,U0069,Unusual Network,teams.exe,MEDIUM,Closed,FALSE_POSITIVE,2026-03-11T16:17:49Z,iso_z,MEDIUM,
EDR001803,2026-03-12 03:51:00,D0003,U0007,Persistence Attempt,rundll32.exe,CRITICAL,In Progress,NEEDS_INVESTIGATION,2026-03-12 03:51:00,iso_space,critical,
EDR000461,2026-03-16 08:52:09,D0156,U0116,PUP Detected,inventory_scan.exe,MEDIUM,Closed,FALSE_POSITIVE,2026-03-16 08:52:09,iso_space,medium,
EDR001334,2026-03-11 07:39:00,D0119,U0090,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 07:39:00,iso_space,high,
EDR001292,2026-03-11 05:33:00,D0198,U0367,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 05:33:00,iso_space,High,
EDR000002,2026-03-21 12:45:50,D0161,U0372,Suspicious Process,teams.exe,HIGH,In Progress,FALSE_POSITIVE,2026-03-21 12:45:50,iso_space,high,
EDR000489,2026-03-07 12:05:19,D0194,U0110,Unusual Network,teams.exe,MEDIUM,Closed,FALSE_POSITIVE,2026-03-07 12:05:19,iso_space,medium,
EDR001698,2026-03-19 08:38:11,D0038,U0125,Unusual Network,cryptolock.exe,MEDIUM,Open,NEEDS_INVESTIGATION,2026-03-19 08:38:11,iso_space,medium,
EDR001689,2026-03-09 16:36:35,D0175,U0364,Credential Access,chrome.exe,LOW,Open,NEEDS_INVESTIGATION,2026-03-09T16:36:35Z,iso_z,low,
EDR001628,2026-03-10 13:23:23,D0059,U0264,PowerShell Abuse,cryptolock.exe,HIGH,Open,NEEDS_INVESTIGATION,2026-03-10 13:23:23,iso_space,HIGH,
EDR001441,2026-03-11 13:00:00,D0138,U0323,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 13:00:00,iso_space,High,
EDR000977,2026-03-18 18:49:59,D0096,U0027,PUP Detected,outlook.exe,MEDIUM,Closed,FALSE_POSITIVE,2026-03-18 18:49:59,iso_space,medium,
EDR000894,2026-03-11 12:40:21,D0044,U0170,Suspicious Process,antivirus_update.exe,LOW,Closed,FALSE_POSITIVE,2026-03-11 12:40:21,iso_space,LOW,
EDR001524,2026-03-11 17:09:00,D0045,U0021,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11T17:09:00Z,iso_z,high,
EDR001216,2026-03-11 01:45:00,D0120,U0219,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 01:45:00,iso_space,High,
EDR000671,2026-03-16 12:42:22,D0074,U0136,Unusual Network,teams.exe,HIGH,In Progress,FALSE_POSITIVE,2026-03-16 12:42:22,iso_space,High,
EDR000675,2026-03-10 13:10:48,D0127,U0073,Unusual Network,inventory_scan.exe,HIGH,Closed,,2026-03-10 13:10:48,iso_space,high,MISSING_ANALYST_DECISION
EDR000262,2026-03-12 12:29:00,D0086,U0105,Unusual Network,sccm_client.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-12 12:29:00,iso_space,HIGH,
EDR001477,2026-03-11 14:48:00,D0021,U0030,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 14:48:00,iso_space,High,
EDR000652,2026-03-20 10:31:10,D0024,U0355,Unusual Network,inventory_scan.exe,HIGH,In Progress,FALSE_POSITIVE,2026-03-20 10:31:10,iso_space,High,
EDR000929,2026-03-11 09:23:42,D0189,U0097,Unusual Network,sccm_client.exe,LOW,In Progress,FALSE_POSITIVE,2026-03-11T09:23:42Z,iso_z,Low,
EDR001304,2026-03-11 06:09:00,D0118,U0030,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 06:09:00,iso_space,High,
EDR000942,2026-03-12 09:52:24,D0200,U0017,PUP Detected,outlook.exe,LOW,Open,,2026-03-12 09:52:24,iso_space,Low,MISSING_ANALYST_DECISION
EDR001568,2026-03-11 19:21:00,D0112,U0197,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11T19:21:00Z,iso_z,High,
EDR000499,2026-03-07 18:33:23,D0165,U0270,PUP Detected,chrome.exe,LOW,Open,FALSE_POSITIVE,2026-03-07 18:33:23,iso_space,Low,
EDR000466,2026-03-16 10:58:21,D0126,U0315,PUP Detected,python.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-16 10:58:21,iso_space,HIGH,
EDR001416,2026-03-11 11:45:00,D0122,U0293,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 11:45:00,iso_space,High,
EDR001054,2026-03-05 08:30:33,D0161,U0336,PUP Detected,sccm_client.exe,MEDIUM,In Progress,FALSE_POSITIVE,2026-03-05 08:30:33,iso_space,MEDIUM,
EDR001642,2026-03-18 17:00:33,D0101,U0285,PUP Detected,outlook.exe,HIGH,Open,NEEDS_INVESTIGATION,2026-03-18 17:00:33,iso_space,High,
EDR000784,2026-03-07 13:30:21,D0065,U0299,PUP Detected,python.exe,LOW,Open,FALSE_POSITIVE,2026-03-07 13:30:21,iso_space,Low,
EDR001577,2026-03-11 19:48:00,D0199,U0364,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 19:48:00,iso_space,HIGH,
EDR001807,2026-03-12 04:03:00,D0003,U0007,Persistence Attempt,powershell_enc.exe,CRITICAL,Open,TRUE_POSITIVE,2026-03-12T04:03:00Z,iso_z,critical,
EDR000754,2026-03-11 11:07:05,D0131,U0128,PUP Detected,antivirus_update.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11T11:07:05Z,iso_z,HIGH,
EDR000021,2026-03-22 17:46:33,D0181,U0081,Suspicious Process,antivirus_update.exe,HIGH,In Progress,FALSE_POSITIVE,2026-03-22 17:46:33,iso_space,high,
EDR001073,2026-03-05 08:11:42,D0095,U0262,Unusual Network,chrome.exe,HIGH,In Progress,FALSE_POSITIVE,2026-03-05 08:11:42,iso_space,high,
EDR000692,2026-03-16 14:46:56,D0108,U0228,Unusual Network,sccm_client.exe,MEDIUM,Open,FALSE_POSITIVE,2026-03-16T14:46:56Z,iso_z,MEDIUM,
EDR001778,2026-03-12 02:36:00,D0003,U0007,PowerShell Abuse,rundll32.exe,HIGH,In Progress,TRUE_POSITIVE,2026-03-12 02:36:00,iso_space,HIGH,
EDR000622,2026-03-16 18:09:56,D0170,U0202,Suspicious Process,inventory_scan.exe,HIGH,In Progress,FALSE_POSITIVE,2026-03-16 18:09:56,iso_space,High,
EDR000709,2026-03-04 13:54:58,D0135,U0253,PUP Detected,teams.exe,LOW,In Progress,FALSE_POSITIVE,2026-03-04 13:54:58,iso_space,low,
EDR001635,2026-03-18 17:42:39,D0074,U0050,PUP Detected,cryptolock.exe,MEDIUM,Open,NEEDS_INVESTIGATION,2026-03-18T17:42:39Z,iso_z,MEDIUM,
EDR000266,2026-03-06 10:00:43,D0171,U0223,Suspicious Process,teams.exe,LOW,Open,FALSE_POSITIVE,2026-03-06 10:00:43,iso_space,Low,
EDR000554,2026-03-10 17:58:22,D0085,U0063,PUP Detected,sccm_client.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-10 17:58:22,iso_space,high,
EDR000102,2026-03-10 14:18:11,D0073,U0053,Unusual Network,inventory_scan.exe,HIGH,In Progress,FALSE_POSITIVE,2026-03-10T14:18:11Z,iso_z,HIGH,
EDR000154,2026-03-20 18:35:41,D0059,U0256,PUP Detected,teams.exe,MEDIUM,Open,,2026-03-20 18:35:41,iso_space,medium,MISSING_ANALYST_DECISION
EDR000027,2026-03-13 13:08:41,D0127,U0261,PUP Detected,antivirus_update.exe,HIGH,In Progress,FALSE_POSITIVE,2026-03-13 13:08:41,iso_space,HIGH,
EDR001716,2026-03-13 10:30:29,D0146,U0369,Suspicious Process,antivirus_update.exe,HIGH,Open,,2026-03-13 10:30:29,iso_space,High,MISSING_ANALYST_DECISION
EDR000368,2026-03-04 16:33:30,D0026,U0010,PUP Detected,outlook.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-04 16:33:30,iso_space,High,
EDR001690,2026-03-05 11:50:16,D0163,U0140,PUP Detected,inventory_scan.exe,LOW,In Progress,NEEDS_INVESTIGATION,2026-03-05T11:50:16Z,iso_z,LOW,
EDR001197,2026-03-11 00:48:00,D0036,U0195,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 00:48:00,iso_space,high,
EDR000104,2026-03-11 14:00:19,D0090,U0375,Suspicious Process,sccm_client.exe,MEDIUM,Closed,FALSE_POSITIVE,2026-03-11 14:00:19,iso_space,medium,
EDR001478,2026-03-11 14:51:00,D0193,U0288,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11T14:51:00Z,iso_z,HIGH,
EDR001367,2026-03-11 09:18:00,D0109,U0316,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 09:18:00,iso_space,high,
EDR000218,2026-03-15 10:58:22,D0051,U0204,Suspicious Process,python.exe,MEDIUM,Open,FALSE_POSITIVE,2026-03-15 10:58:22,iso_space,MEDIUM,
EDR001319,2026-03-11 06:54:00,D0092,U0030,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 06:54:00,iso_space,HIGH,
EDR001023,2026-03-05 08:55:39,D0155,U0038,PUP Detected,sccm_client.exe,LOW,Closed,FALSE_POSITIVE,2026-03-05 08:55:39,iso_space,Low,
EDR000561,2026-03-06 16:17:07,D0009,U0350,Unusual Network,antivirus_update.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-06 16:17:07,iso_space,High,
EDR001119,2026-03-16 08:33:38,D0190,U0148,Suspicious Process,antivirus_update.exe,LOW,Open,FALSE_POSITIVE,2026-03-16 08:33:38,iso_space,LOW,
EDR001507,2026-03-11 16:18:00,D0114,U0176,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 16:18:00,iso_space,high,
EDR000981,2026-03-07 12:47:01,D0180,U0337,Unusual Network,chrome.exe,HIGH,Open,FALSE_POSITIVE,2026-03-07 12:47:01,iso_space,HIGH,
EDR000410,2026-03-08 17:00:36,D0080,U0286,Unusual Network,teams.exe,HIGH,Open,FALSE_POSITIVE,2026-03-08T17:00:36Z,iso_z,high,
EDR000676,2026-03-21 12:49:13,D0198,U0091,PUP Detected,sccm_client.exe,MEDIUM,In Progress,FALSE_POSITIVE,2026-03-21 12:49:13,iso_space,MEDIUM,
EDR000507,2026-03-09 17:56:07,D0083,U0308,Suspicious Process,chrome.exe,MEDIUM,Closed,FALSE_POSITIVE,2026-03-09 17:56:07,iso_space,medium,
EDR000702,2026-03-18 16:27:47,D0172,U0343,Suspicious Process,antivirus_update.exe,HIGH,In Progress,FALSE_POSITIVE,2026-03-18T16:27:47Z,iso_z,High,
EDR000756,2026-03-07 13:33:25,D0122,U0012,PUP Detected,inventory_scan.exe,MEDIUM,Closed,FALSE_POSITIVE,2026-03-07 13:33:25,iso_space,MEDIUM,
EDR000812,2026-03-03 13:26:40,D0080,U0011,PUP Detected,inventory_scan.exe,MEDIUM,Open,FALSE_POSITIVE,2026-03-03 13:26:40,iso_space,Medium,
EDR000850,2026-03-21 18:16:08,D0001,U0087,PUP Detected,sccm_client.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-21 18:16:08,iso_space,HIGH,
EDR001814,2026-03-12 04:24:00,D0003,U0007,Persistence Attempt,cryptolock.exe,CRITICAL,In Progress,NEEDS_INVESTIGATION,2026-03-12 04:24:00,iso_space,CRITICAL,
EDR001742,2026-03-02 15:16:55,D0190,U0332,PowerShell Abuse,powershell_enc.exe,CRITICAL,Closed,TRUE_POSITIVE,2026-03-02 15:16:55,iso_space,Critical,
EDR000903,2026-03-11 18:00:08,D0096,U0278,Unusual Network,teams.exe,LOW,Closed,FALSE_POSITIVE,2026-03-11 18:00:08,iso_space,Low,
EDR000156,2026-03-17 19:23:44,D0103,U0013,Suspicious Process,inventory_scan.exe,HIGH,In Progress,FALSE_POSITIVE,2026-03-17 19:23:44,iso_space,High,
EDR001653,2026-03-16 12:53:46,D0089,U0234,PowerShell Abuse,cryptolock.exe,CRITICAL,In Progress,NEEDS_INVESTIGATION,2026-03-16 12:53:46,iso_space,critical,
EDR000884,2026-03-09 10:45:02,D0132,U0143,Unusual Network,python.exe,LOW,Closed,FALSE_POSITIVE,2026-03-09T10:45:02Z,iso_z,Low,
EDR000954,2026-03-08 17:20:24,D0164,U0156,Unusual Network,antivirus_update.exe,MEDIUM,Closed,FALSE_POSITIVE,2026-03-08 17:20:24,iso_space,MEDIUM,
EDR000730,2026-03-12 16:37:24,D0006,U0139,PUP Detected,antivirus_update.exe,LOW,Open,FALSE_POSITIVE,2026-03-12 16:37:24,iso_space,Low,
EDR001041,2026-03-06 12:11:25,D0076,U0293,PUP Detected,sccm_client.exe,HIGH,Open,FALSE_POSITIVE,2026-03-06 12:11:25,iso_space,HIGH,
EDR001840,2026-03-16 09:12:32,D9008,U0179,Unusual Network,chrome.exe,CRITICAL,Open,,2026-03-16 09:12:32,iso_space,critical,MISSING_ANALYST_DECISION;UNKNOWN_DEVICE_REF
EDR000280,2026-03-15 14:54:30,D0057,U0076,Unusual Network,inventory_scan.exe,HIGH,Open,FALSE_POSITIVE,2026-03-15 14:54:30,iso_space,high,
EDR001306,2026-03-11 06:15:00,D0114,U0026,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 06:15:00,iso_space,HIGH,
EDR000792,2026-03-19 11:36:23,D0140,U0321,PUP Detected,teams.exe,LOW,In Progress,FALSE_POSITIVE,2026-03-19 11:36:23,iso_space,LOW,
EDR001012,2026-03-14 19:42:52,D0090,U0141,Unusual Network,sccm_client.exe,MEDIUM,Open,FALSE_POSITIVE,2026-03-14T19:42:52Z,iso_z,Medium,
EDR000374,2026-03-19 18:43:57,D0150,U0030,PUP Detected,outlook.exe,HIGH,Open,,2026-03-19T18:43:57Z,iso_z,High,MISSING_ANALYST_DECISION
EDR001595,2026-03-05 19:37:14,D0017,U0219,Ransomware Behaviour,mimikatz.exe,LOW,In Progress,NEEDS_INVESTIGATION,2026-03-05T19:37:14Z,iso_z,LOW,
EDR000937,2026-03-02 11:02:39,D0188,U0058,Unusual Network,teams.exe,HIGH,In Progress,FALSE_POSITIVE,2026-03-02 11:02:39,iso_space,HIGH,
EDR001637,2026-03-14 09:43:26,D0163,U0034,Ransomware Behaviour,rundll32.exe,MEDIUM,In Progress,NEEDS_INVESTIGATION,2026-03-14T09:43:26Z,iso_z,MEDIUM,
EDR000997,2026-03-02 19:17:24,D0022,U0004,Suspicious Process,teams.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-02T19:17:24Z,iso_z,HIGH,
EDR000479,2026-03-04 08:36:29,D0138,U0243,Unusual Network,inventory_scan.exe,HIGH,In Progress,FALSE_POSITIVE,2026-03-04 08:36:29,iso_space,High,
EDR000144,2026-03-11 10:28:09,D0138,U0122,Unusual Network,teams.exe,HIGH,Open,FALSE_POSITIVE,2026-03-11 10:28:09,iso_space,high,
EDR000987,2026-03-17 17:34:05,D0064,U0161,Unusual Network,inventory_scan.exe,LOW,Open,,2026-03-17 17:34:05,iso_space,Low,MISSING_ANALYST_DECISION
EDR000190,2026-03-03 14:37:14,D0170,U0062,Suspicious Process,inventory_scan.exe,MEDIUM,Closed,,2026-03-03 14:37:14,iso_space,MEDIUM,MISSING_ANALYST_DECISION
EDR001688,2026-03-02 17:07:31,D0103,U0345,Malware Signature,inventory_scan.exe,MEDIUM,Open,NEEDS_INVESTIGATION,2026-03-02T17:07:31Z,iso_z,MEDIUM,
EDR001563,2026-03-11 19:06:00,D0194,U0363,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 19:06:00,iso_space,HIGH,
EDR001648,2026-03-10 13:14:30,D0074,U0334,Suspicious Process,python.exe,HIGH,Open,NEEDS_INVESTIGATION,2026-03-10 13:14:30,iso_space,high,
EDR000863,2026-03-21 12:23:56,D0007,U0128,Suspicious Process,sccm_client.exe,LOW,In Progress,FALSE_POSITIVE,2026-03-21 12:23:56,iso_space,low,
EDR001265,2026-03-11 04:12:00,D0187,U0326,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 04:12:00,iso_space,high,
EDR001545,2026-03-11 18:12:00,D0082,U0376,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 18:12:00,iso_space,High,
EDR000286,2026-03-13 14:38:33,D0031,U0326,PUP Detected,sccm_client.exe,MEDIUM,Open,FALSE_POSITIVE,2026-03-13 14:38:33,iso_space,Medium,
EDR001419,2026-03-11 11:54:00,D0119,U0317,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 11:54:00,iso_space,High,
EDR001016,2026-03-09 11:12:36,D0101,U0300,Unusual Network,inventory_scan.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-09T11:12:36Z,iso_z,HIGH,
EDR001718,2026-03-03 16:51:52,D0082,U0044,Ransomware Behaviour,antivirus_update.exe,MEDIUM,In Progress,NEEDS_INVESTIGATION,2026-03-03T16:51:52Z,iso_z,medium,
EDR001722,2026-03-02 15:39:08,D0145,U0125,Credential Access,teams.exe,MEDIUM,Open,,2026-03-02 15:39:08,iso_space,MEDIUM,MISSING_ANALYST_DECISION
EDR001357,2026-03-11 08:48:00,D0176,U0282,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 08:48:00,iso_space,high,
EDR000656,2026-03-08 19:24:59,D0085,U0056,Suspicious Process,inventory_scan.exe,HIGH,In Progress,FALSE_POSITIVE,2026-03-08T19:24:59Z,iso_z,High,
EDR001668,2026-03-08 13:04:43,D0036,U0265,Persistence Attempt,rundll32.exe,MEDIUM,Open,NEEDS_INVESTIGATION,2026-03-08 13:04:43,iso_space,medium,
EDR000124,2026-03-21 08:24:53,D0075,U0209,Suspicious Process,antivirus_update.exe,MEDIUM,In Progress,FALSE_POSITIVE,2026-03-21 08:24:53,iso_space,MEDIUM,
EDR001221,2026-03-11 02:00:00,D0170,U0365,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 02:00:00,iso_space,HIGH,
EDR000737,2026-03-06 09:34:48,D0015,U0145,Unusual Network,python.exe,LOW,Open,FALSE_POSITIVE,2026-03-06 09:34:48,iso_space,low,
EDR000203,2026-03-19 14:27:22,D0029,U0262,PUP Detected,sccm_client.exe,HIGH,In Progress,FALSE_POSITIVE,2026-03-19 14:27:22,iso_space,HIGH,
EDR000761,2026-03-03 13:07:22,D0059,U0337,Unusual Network,outlook.exe,MEDIUM,Open,FALSE_POSITIVE,2026-03-03 13:07:22,iso_space,MEDIUM,
EDR001558,2026-03-11 18:51:00,D0136,U0173,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 18:51:00,iso_space,High,
EDR000408,2026-03-11 14:25:15,D0055,U0063,Suspicious Process,teams.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 14:25:15,iso_space,High,
EDR000698,2026-03-09 19:13:02,D0082,U0312,Unusual Network,teams.exe,HIGH,Open,,2026-03-09T19:13:02Z,iso_z,High,MISSING_ANALYST_DECISION
EDR001624,2026-03-02 08:07:06,D0084,U0017,PUP Detected,mimikatz.exe,MEDIUM,Open,NEEDS_INVESTIGATION,2026-03-02 08:07:06,iso_space,Medium,
EDR000325,2026-03-18 18:50:27,D0094,U0133,Unusual Network,sccm_client.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-18 18:50:27,iso_space,High,
EDR000327,2026-03-21 09:59:09,D0131,U0060,Suspicious Process,antivirus_update.exe,MEDIUM,In Progress,FALSE_POSITIVE,2026-03-21 09:59:09,iso_space,Medium,
EDR000344,2026-03-12 15:11:58,D0159,U0209,Unusual Network,sccm_client.exe,HIGH,In Progress,FALSE_POSITIVE,2026-03-12 15:11:58,iso_space,High,
EDR001679,2026-03-12 14:41:38,D0110,U0166,Credential Access,psexec.exe,CRITICAL,Open,NEEDS_INVESTIGATION,2026-03-12 14:41:38,iso_space,critical,
EDR000603,2026-03-16 18:40:17,D0094,U0368,Suspicious Process,antivirus_update.exe,MEDIUM,Closed,FALSE_POSITIVE,2026-03-16 18:40:17,iso_space,medium,
EDR000303,2026-03-22 15:32:18,D0135,U0034,PUP Detected,inventory_scan.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-22 15:32:18,iso_space,high,
EDR000862,2026-03-04 15:32:22,D0169,U0372,Suspicious Process,sccm_client.exe,MEDIUM,In Progress,FALSE_POSITIVE,2026-03-04 15:32:22,iso_space,MEDIUM,
EDR001029,2026-03-03 14:34:28,D0003,U0240,Suspicious Process,inventory_scan.exe,LOW,In Progress,FALSE_POSITIVE,2026-03-03 14:34:28,iso_space,low,
EDR001064,2026-03-03 12:21:19,D0037,U0358,Suspicious Process,chrome.exe,MEDIUM,In Progress,FALSE_POSITIVE,2026-03-03 12:21:19,iso_space,Medium,
EDR001502,2026-03-11 16:03:00,D0121,U0271,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11T16:03:00Z,iso_z,High,
EDR000928,2026-03-07 08:20:26,D0161,U0248,Suspicious Process,sccm_client.exe,MEDIUM,Closed,FALSE_POSITIVE,2026-03-07 08:20:26,iso_space,Medium,
EDR000388,2026-03-07 13:19:36,D0179,U0239,Suspicious Process,python.exe,LOW,Closed,FALSE_POSITIVE,2026-03-07 13:19:36,iso_space,low,
EDR000750,2026-03-06 09:34:41,D0016,U0236,Suspicious Process,antivirus_update.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-06 09:34:41,iso_space,High,
EDR000220,2026-03-10 14:42:30,D0104,U0213,Suspicious Process,chrome.exe,HIGH,Open,FALSE_POSITIVE,2026-03-10 14:42:30,iso_space,High,
EDR000329,2026-03-15 09:15:39,D0057,U0016,Unusual Network,chrome.exe,HIGH,Open,,2026-03-15 09:15:39,iso_space,high,MISSING_ANALYST_DECISION
EDR001240,2026-03-11 02:57:00,D0003,U0198,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 02:57:00,iso_space,High,
EDR000500,2026-03-14 11:11:42,D0052,U0037,Suspicious Process,teams.exe,LOW,Closed,FALSE_POSITIVE,2026-03-14 11:11:42,iso_space,LOW,
EDR001111,2026-03-12 16:44:05,D0148,U0008,Unusual Network,inventory_scan.exe,LOW,Closed,FALSE_POSITIVE,2026-03-12 16:44:05,iso_space,Low,
EDR001262,2026-03-11 04:03:00,D0144,U0343,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 04:03:00,iso_space,High,
EDR000278,2026-03-19 16:43:26,D0180,U0102,Suspicious Process,python.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-19T16:43:26Z,iso_z,high,
EDR001380,2026-03-11 09:57:00,D0150,U0242,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11 09:57:00,iso_space,HIGH,
EDR000383,2026-03-16 08:39:29,D0050,U0153,PUP Detected,inventory_scan.exe,HIGH,In Progress,,2026-03-16 08:39:29,iso_space,High,MISSING_ANALYST_DECISION
EDR000468,2026-03-11 10:01:28,D0052,U0207,PUP Detected,antivirus_update.exe,HIGH,Closed,FALSE_POSITIVE,2026-03-11T10:01:28Z,iso_z,High,
EDR001147,2026-03-12 16:16:10,D0034,U0031,Suspicious Process,antivirus_update.exe,MEDIUM,In Progress,FALSE_POSITIVE,2026-03-12 16:16:10,iso_space,MEDIUM,
EDR000572,2026-03-19 14:03:44,D0111,U0280,PUP Detected,teams.exe,LOW,In Progress,FALSE_POSITIVE,2026-03-19T14:03:44Z,iso_z,Low,
EDR000031,2026-03-12 10:30:35,D0030,U0097,PUP Detected,antivirus_update.exe,MEDIUM,Open,FALSE_POSITIVE,2026-03-12 10:30:35,iso_space,Medium,
